Nr;A;B;C;D;AB;AC;AD;BC;BD;CD;y
1;-;-;-;+;+;+;-;+;-;-;1004950.0
2;-;-;+;+;+;-;-;-;-;+;1004765.0
3;-;-;+;-;+;-;+;-;+;-;1004638.5
4;+;+;-;+;+;-;+;-;+;-;1004526.5
5;+;+;+;+;+;+;+;+;+;+;1004578.5
6;+;-;-;+;-;-;+;+;-;-;1004307.5
7;-;-;-;-;+;+;+;+;+;+;1004556.0
8;+;-;+;+;-;+;+;-;-;+;1004189.5
9;+;+;-;-;+;-;-;-;-;+;1004361.5
10;+;-;+;-;-;+;-;-;+;-;1004225.5
11;+;+;+;-;+;+;-;+;-;-;1004364.0
12;+;-;-;-;-;-;-;+;+;+;1004110.5
13;-;+;-;+;-;+;-;-;+;-;1004186.0
14;-;+;+;+;-;-;-;+;+;+;1004227.5
15;-;+;-;-;-;+;+;-;-;+;1004029.5
16;-;+;+;-;-;-;+;+;-;-;1004130.0
MW-;1004435.3125;1004467.8125;1004378.4375;1004301.9375;1004175.75;1004383.375;1004398.75;1004365.25;1004387.125;1004416.0;
MW+;1004332.9375;1004300.4375;1004389.8125;1004466.3125;1004592.5;1004384.875;1004369.5;1004403.0;1004381.125;1004352.25;
Effekt;-102.375;-167.375;11.375;164.375;416.75;1.5;-29.25;37.75;-6.0;-63.75;
